,2018 Rank,City,State,2018 estimate,2010 census,Percentage of change,Land area sq mi,Land area sq km,Population density /sq mi,Population density /sq km,Location,Link,LD,SD
11,11,Austin,Texas,964254,790390,22,312.7,809.9,3031,1170,30°18′14″N97°45′16″W﻿ / ﻿30.3039°N 97.7544°W﻿ /30.3039; -97.7544﻿ ,"/wiki/Austin,_Texas","A big city with a small-town heart, Austin earns the love with great music, culinary prowess, whip-smart locals and a sociable streak impossible to resist.",is one big outdoor playground
12,12,Jacksonville,Florida,903889,821784,9.99,747.4,1935.8,1178,455,30°20′13″N81°39′42″W﻿ / ﻿30.3369°N 81.6616°W﻿ /30.3369; -81.6616﻿ ,"/wiki/Jacksonville,_Florida","At a whopping 840 sq miles, Jacksonville is the largest city by area in the contiguous United States and the most populous in Florida. The city sprawls along three meandering rivers, with sweeping bridges and twinkling city lights reflected in the water. A glut of high-rises, corporate HQs and chain hotels can make 'Jax' feel a little soulless, but patient exploration yields some interesting streets, curious characters and a Southern-fried, friendly heart.",is a city of bridges
13,13,Fort Worth,Texas,895008,741206,20.75,342.9,888.1,2491,962,32°46′53″N97°20′48″W﻿ / ﻿32.7815°N 97.3467°W﻿ /32.7815; -97.3467﻿ ,"/wiki/Fort_Worth,_Texas","Oft-called 'Where the West Begins,' Fort Worth definitely has the cowboy feel.",
14,14,Columbus,Ohio,892533,787033,13.4,218.5,565.9,3936,1520,39°59′07″N82°59′05″W﻿ / ﻿39.9852°N 82.9848°W﻿ /39.9852; -82.9848﻿ ,"/wiki/Columbus,_Ohio",,
15,15,San Francisco,California,883305,805235,9.7,46.9,121.5,18569,7170,37°43′38″N123°01′56″W﻿ / ﻿37.7272°N 123.0322°W﻿ /37.7272; -123.0322﻿ ,/wiki/San_Francisco,"Grab your coat and a handful of glitter, and enter a wonderland of fog and fabulousness. So long, inhibitions; hello, San Francisco.",is fog-shrouded icons
16,16,Charlotte,North Carolina,872498,731424,19.29,305.4,791,2757,1064,35°12′28″N80°49′52″W﻿ / ﻿35.2078°N 80.8310°W﻿ /35.2078; -80.8310﻿ ,"/wiki/Charlotte,_North_Carolina","North Carolina’s largest city, Charlotte sprawls 15 miles in every direction from its compact, high-rise core. Futuristic skyscrapers pepper downtown Charlotte, which is officially known as ‘Uptown,’ supposedly because it sits on a barely visible ridge, but really because the council decided that sounds cooler. Uptown holds several fine museums plus the high-octane NASCAR Hall of Fame, while more museums and historic sites are scattered further afield. Hotels and restaurants are also concentrated Uptown, though funkier neighborhoods within easy reach include Plaza Midwood, just east, with its boutiques and restaurants, and hip NoDa, along North Davidson St, where former textile mills hold breweries and cafes.",
17,17,Indianapolis,Indiana,867125,820445,5.69,361.5,936.3,2366,914,39°46′36″N86°08′45″W﻿ / ﻿39.7767°N 86.1459°W﻿ /39.7767; -86.1459﻿ ,/wiki/Indianapolis,"Clean-cut Indy is the state capital and a perfectly pleasant place to ogle race cars and take a spin around the renowned speedway. The art museum and White River State Park have their merits, as do the Mass Ave and Broad Ripple hoods for eating and drinking. And fans of author Kurt Vonnegut are in for a treat. A swell walking and biking trail connects it all.",
18,18,Seattle,Washington,744955,608660,22.39,83.8,217,8405,3245,47°37′14″N122°21′03″W﻿ / ﻿47.6205°N 122.3509°W﻿ /47.6205; -122.3509﻿ ,/wiki/Seattle,"Blink and it’s changed: Seattle can be that ephemeral. Welcome to a city that pushes the envelope, embraces new trends and plots a path toward the future.",
19,19,Denver,Colorado,716492,600158,19.38,153.3,397,4521,1746,39°45′43″N104°52′52″W﻿ / ﻿39.7619°N 104.8811°W﻿ /39.7619; -104.8811﻿ ,/wiki/Denver,"As an urban center, Denver has come a long way. Sure you'll still catch a Stetson or two walking down the 16th St Mall, but the Intermountain West's cosmopolitan capital now delights in a growing culinary and arts scene, plus plenty of brewpubs, great parks and cycling trails, and close proximity to spectacular hiking, skiing and camping in the Rocky Mountains.",is mountain-town lifestyle
20,20,"Washington, D.C.",District of Columbia,702455,601723,16.74,61.1,158.2,11148,4304,38°54′15″N77°01′02″W﻿ / ﻿38.9041°N 77.0172°W﻿ /38.9041; -77.0172﻿ ,"/wiki/Washington,_D.C.",,
21,21,Boston,Massachusetts,694583,617594,12.47,48.3,125.1,13938,5381,42°19′55″N71°01′13″W﻿ / ﻿42.3320°N 71.0202°W﻿ /42.3320; -71.0202﻿ ,/wiki/Boston,"Boston's history recalls revolution and transformation, and today it is still among the country’s most forward-thinking and barrier-breaking cities.",is history by the water
22,22,El Paso,Texas,682669,649121,5.17,256.8,665.1,2660,1030,31°50′54″N106°25′37″W﻿ / ﻿31.8484°N 106.4270°W﻿ /31.8484; -106.4270﻿ ,"/wiki/El_Paso,_Texas",,
23,23,Detroit,Michigan,672662,713777,−5.76,138.8,359.5,4847,1871,42°22′59″N83°06′08″W﻿ / ﻿42.3830°N 83.1022°W﻿ /42.3830; -83.1022﻿ ,/wiki/Detroit,"Americans love a good comeback story, and Detroit is writing a mighty one as it transforms itself from a punchline to a cool-cat destination. Murals, markets, greenways, bike shops, distilleries and inventive chefs are getting the city's groove on, along with fresh public works like the new street car and sports arena downtown.",is American ingenuity
24,24,Nashville,Tennessee,669053,601222,11.28,475.9,1232.6,1388,536,36°10′18″N86°47′06″W﻿ / ﻿36.1718°N 86.7850°W﻿ /36.1718; -86.7850﻿ ,"/wiki/Nashville,_Tennessee","Nashville is on a roll that just won't stop. Country-music stars are slapping their names on brand-new honky-tonks. Boutique hotels seem to open monthly. Bachelors and bachelorettes are arriving in hordes to party. And acclaimed chefs are going far beyond the meat-and-three, though biscuits and hot chicken are doing just fine.",is electricity in the air
25,25,Portland,Oregon,653115,583776,11.88,133.5,345.8,4793,1851,45°32′13″N122°39′00″W﻿ / ﻿45.5370°N 122.6500°W﻿ /45.5370; -122.6500﻿ ,"/wiki/Portland,_Oregon","Oregon's largest city used to seem like a well-kept secret: it had all the cultural advantages of a major city but the feel and affordability of a small town. But little old Stumptown is growing up, in many ways.",is wide horizons
26,26,Memphis,Tennessee,650618,646889,0.58,317.4,822.1,2056,794,35°06′10″N89°58′39″W﻿ / ﻿35.1028°N 89.9774°W﻿ /35.1028; -89.9774﻿ ,"/wiki/Memphis,_Tennessee","Memphis doesn't just attract tourists; it draws pilgrims. Music-lovers lose themselves to the throb of blues guitar on Beale St. Barbecue connoisseurs descend to stuff themselves silly on smoky pulled pork and dry-rubbed ribs. Elvis fanatics fly in to pay their respects at Graceland. You could spend days hopping from one museum or historic site to another, stopping only for barbecue, and leave happy.",is a musical pilgrimage
27,27,Oklahoma City,Oklahoma,649021,579999,11.9,606.3,1570.3,1053,407,35°28′02″N97°30′49″W﻿ / ﻿35.4671°N 97.5137°W﻿ /35.4671; -97.5137﻿ ,/wiki/Oklahoma_City,"Often abbreviated to OKC, Oklahoma City is nearly dead center in the state and is the cultural and political capital. It has worked hard over the years to become more than just a cow town, all without turning its back on its cowboy heritage. It makes a good pause on your Route 66 travels.",
28,28,Las Vegas,Nevada,644644,583756,10.43,134.4,348.1,4709,1818,36°13′45″N115°15′36″W﻿ / ﻿36.2292°N 115.2601°W﻿ /36.2292; -115.2601﻿ ,/wiki/Las_Vegas,"An oasis of indulgence dazzling in the desert, Vegas' seduction is unrivaled. The Strip shimmers hypnotically, promising excitement, entertainment, fortune and fame. Seeing is believing.",is rolling the dice until sunrise
29,29,Louisville,Kentucky,620118,597337,3.81,263.5,682.5,2339,903,38°09′55″N85°38′51″W﻿ / ﻿38.1654°N 85.6474°W﻿ /38.1654; -85.6474﻿ ,"/wiki/Louisville,_Kentucky","Louisville (or Loo-a-vul, as the locals say) is handsome, underrated and undeniably cool. Think of it as a hipster with good Southern manners. A fun and artsy town built on bourbon and American sport icons (it's home to the Kentucky Derby, and was the birthplace of Muhammad Ali and the Louisville Slugger baseball bat), it has evolved into one of the South's most foodie-centric cities, a lovely spot to eat and museum-hop between rounds of pursuing North America's best bourbon old-fashioned cocktail.",
30,30,Baltimore,Maryland,602495,620961,−2.97,80.9,209.5,7598,2934,39°18′00″N76°36′38″W﻿ / ﻿39.3000°N 76.6105°W﻿ /39.3000; -76.6105﻿ ,/wiki/Baltimore,"Once among the most important port towns in America, Baltimore – or 'Bawlmer' to locals – is a city of contradictions. It remains a defiant, working-class city tied to its nautical past, but in recent years has earned acclaim for impressive, up-to-the-minute entrepreneurial ventures, from new boutique hotels and edgy exhibits at world-class museums to forgotten neighborhoods now bustling with trendy food courts and farm-to-table restaurants. But don't worry, traditionalists – local culture and hometown sports, from lacrosse to baseball, remain part of the appeal.",
31,31,Milwaukee,Wisconsin,592025,594833,−0.47,96.2,249.2,6186,2388,43°03′48″N87°58′00″W﻿ / ﻿43.0633°N 87.9667°W﻿ /43.0633; -87.9667﻿ ,/wiki/Milwaukee,"Here’s the thing about Milwaukee: it’s cool, but for some reason it slips under the radar. The city’s reputation as a working man's town of brewskis, bowling alleys and polka halls still persists. But attractions like the Calatrava-designed art museum, badass Harley-Davidson Museum and stylish eating and shopping enclaves have turned Wisconsin's largest city into an unassumingly groovy place. In summertime, festivals let loose with revelry by the lake almost every weekend. And where else on the planet will you see racing sausages?",
32,32,Albuquerque,New Mexico,560218,545852,2.63,188.2,487.4,2972,1147,35°06′20″N106°38′51″W﻿ / ﻿35.1056°N 106.6474°W﻿ /35.1056; -106.6474﻿ ,"/wiki/Albuquerque,_New_Mexico","Albuquerque: it's the pink hues of the Sandia Mountains at sunset, the Rio Grande's cottonwood bosque, Route 66 diners and the hometown of Walter White and Jesse Pinkman. It's a bustling desert crossroads and the largest city in the state, yet you can still hear the howls of coyotes when the sun goes down.",is a southwest adventure
33,33,Tucson,Arizona,545975,520116,4.97,230.8,597.8,2299,888,32°09′11″N110°52′14″W﻿ / ﻿32.1531°N 110.8706°W﻿ /32.1531; -110.8706﻿ ,"/wiki/Tucson,_Arizona","A college town with a long history, Tucson (too-sawn) is attractive, fun-loving and one of the most culturally invigorating places in the Southwest. Set in a flat valley hemmed in by snaggletoothed mountains and swaths of saguaro, Arizona's second-largest city smoothly blends American Indian, Spanish, Mexican and Anglo traditions. Distinct neighborhoods and 19th-century buildings give a rich sense of community and history not found in the more modern, sprawling Phoenix. The eclectic shops toting vintage garb, scores of funky restaurants and dive bars don't let you forget Tucson is a college town at heart, home turf to the 40,000-strong University of Arizona (UA).",is the heart of the Southwest
34,34,Fresno,California,530093,494665,7.16,114.4,296.3,4563,1762,36°47′01″N119°47′36″W﻿ / ﻿36.7836°N 119.7934°W﻿ /36.7836; -119.7934﻿ ,"/wiki/Fresno,_California","Smack in the arid center of the state, Fresno is the biggest city in the Central Valley. It's hardly scenic, but it is beautifully situated, just an hour's drive from four national parks (Yosemite, Sierra, Kings Canyon and Sequoia), making it the ideal last stop for expeditions.", 
35,35,Mesa,Arizona,508958,439041,15.92,137.9,357.2,3514,1357,33°24′07″N111°43′03″W﻿ / ﻿33.4019°N 111.7174°W﻿ /33.4019; -111.7174﻿ ,"/wiki/Mesa,_Arizona",,
36,36,Sacramento,California,508529,466488,9.01,97.9,253.6,5059,1953,38°34′00″N121°28′07″W﻿ / ﻿38.5666°N 121.4686°W﻿ /38.5666; -121.4686﻿ ,"/wiki/Sacramento,_California","The Central Valley is visible from space – a vast expanse of green between the Sierra Nevada and Pacific Ocean. The area is divided in two parts: the Sacramento Valley in the north and the San Joaquin Valley in the south. For millennia, the rivers cutting through these valleys flooded seasonally, creating extremely fertile soil. Today, those waterways are tamed by mighty public works projects that support massive agricultural endeavors. Half the produce in the US is grown in these valleys – including almost every almond, olive and bulb of garlic.",
37,37,Atlanta,Georgia,498044,420003,18.58,133.5,345.8,3539,1366,33°45′46″N84°25′22″W﻿ / ﻿33.7629°N 84.4227°W﻿ /33.7629; -84.4227﻿ ,/wiki/Atlanta,"The South's so-called capital isn't nicknamed Hotlanta for nothing, y'all. Charismatic and lush, Atlanta is a feverish, easy-on-the-eyes cavalcade of culture, cuisine and Southern hospitality.",is energy and excitement
38,38,Kansas City,Missouri,491918,459787,6.99,315,815.8,1528,590,39°07′30″N94°33′04″W﻿ / ﻿39.1251°N 94.5510°W﻿ /39.1251; -94.5510﻿ ,"/wiki/Kansas_City,_Missouri","With its fiery barbecues (100-plus joints smoke it up), bubbling fountains (more than 200; on par with Rome) and blaring jazz, Kansas City may just be the coolest city in America nobody's talking about. It's certainly a don't-miss Great Plains highlight with world-class museums and quirky art-filled neighborhoods that jostle for your attention. You can easily run aground for several days as you tune into the local vibe.",is a Great Plains highlight
39,39,Colorado Springs,Colorado,472688,416427,13.51,195.6,506.6,2378,918,38°52′02″N104°45′39″W﻿ / ﻿38.8673°N 104.7607°W﻿ /38.8673; -104.7607﻿ ,"/wiki/Colorado_Springs,_Colorado","One of the nation's first destination resorts, Colorado Springs is now the state’s second-largest city. Its natural beauty and pleasant climate attract visitors from around the globe, who come to ascend majestic Pikes Peak and admire the exquisite sandstone spires of the Garden of the Gods.", 
40,40,Miami,Florida,470914,399457,17.89,36,93.2,12599,4865,25°46′31″N80°12′31″W﻿ / ﻿25.7752°N 80.2086°W﻿ /25.7752; -80.2086﻿ ,/wiki/Miami,"Beautiful beaches and art deco delights are just some of Miami’s many charms – there's also the blazing nightlife, tropical gardens, lively arts scene and sizzling cuisine.",is gloriously good-looking
41,41,Raleigh,North Carolina,469298,403892,16.19,145.1,375.8,3163,1221,35°49′50″N78°38′30″W﻿ / ﻿35.8306°N 78.6418°W﻿ /35.8306; -78.6418﻿ ,"/wiki/Raleigh,_North_Carolina","Founded in 1792 as a new capital for North Carolina, and named for Sir Walter Raleigh – whose image crops up in all sorts of unlikely places around the city – Raleigh remains a somewhat staid government town with major sprawl issues. Downtown is undeniably handsome, though, and is home to some top-notch (and free!) museums and galleries, while the food and music scenes are on a definite upswing.",
42,42,Omaha,Nebraska,468262,408958,14.5,133.2,345,3356,1296,41°15′52″N96°02′42″W﻿ / ﻿41.2644°N 96.0451°W﻿ /41.2644; -96.0451﻿ ,"/wiki/Omaha,_Nebraska","Be careful if you're planning a quick pit stop in Omaha. Home to the brick-and-cobblestoned Old Market neighborhood, a booming riverfront, a lively music scene and several good museums, this town can turn a few hours into a few days.",
43,43,Long Beach,California,467354,462257,1.1,50.3,130.3,9347,3609,33°48′33″N118°09′19″W﻿ / ﻿33.8092°N 118.1553°W﻿ /33.8092; -118.1553﻿ ,"/wiki/Long_Beach,_California","Along LA County's southern shore and adjacent to Orange County, the twin ports of Long Beach and San Pedro provide attractions from ship to hip. Ramble around the art deco ocean liner Queen Mary, scramble around the Battleship Iowa, or immerse yourself in the Aquarium of the Pacific. Then go for retro shopping and coastal cliff views.", 
44,44,Virginia Beach,Virginia,450189,437994,2.78,244.7,633.8,1850,710,36°46′48″N76°01′31″W﻿ / ﻿36.7800°N 76.0252°W﻿ /36.7800; -76.0252﻿ ,"/wiki/Virginia_Beach,_Virginia","With 35 miles of sandy beaches, a 3-mile concrete oceanfront boardwalk and nearby outdoor activities, it's no surprise that Virginia Beach is a prime tourist destination. The city has worked hard to shed its reputation as a rowdy 'Redneck Riviera,' and hey, the beach is wider and cleaner now and there are fewer louts. Beach aside, you'll find some lovely parks and nature sites beyond the crowded high-rises lining the shore. Expect thick crowds, heavy traffic and high prices if visiting in the summer.",is a sunset stroll
45,45,Oakland,California,429082,390724,9.82,55.9,144.8,7514,2901,37°46′11″N122°13′33″W﻿ / ﻿37.7698°N 122.2257°W﻿ /37.7698; -122.2257﻿ ,"/wiki/Oakland,_California","You can eat a taco here that will leave you speechless, desperate for more, until you have pork and leek dumplings and decide those are your gastronomic destiny. You can play an Atari 2600 in a museum and drink a beer under a wall of skulls before listening to some of the nation's freshest hip-hop – live.",is an architectural gem
46,46,Minneapolis,Minnesota,425403,382578,11.19,54,139.9,7660,2960,44°57′48″N93°16′06″W﻿ / ﻿44.9633°N 93.2683°W﻿ /44.9633; -93.2683﻿ ,/wiki/Minneapolis,"Minneapolis is the biggest and artiest town on the prairie, with all the trimmings of progressive prosperity – swank art museums, rowdy rock clubs, organic and ethnic eateries and edgy theaters. It's always happenin', even in winter. And here's the bonus: folks are attitude-free and the embodiment of 'Minnesota Nice.' Count how many times they tell you to 'Have a great day,' come rain or shine or snow.",is progressive prosperity
47,47,Tulsa,Oklahoma,400669,391906,2.24,196.8,509.7,2048,791,36°07′40″N95°54′08″W﻿ / ﻿36.1279°N 95.9023°W﻿ /36.1279; -95.9023﻿ ,"/wiki/Tulsa,_Oklahoma","Self-billed as the ‘Oil Capital of the World,’ Tulsa has never dirtied its hands much on the black gold that oozes out elsewhere in the state. Rather, it is home to scores of energy companies that make their living drilling for oil, selling it or supplying those who do. The steady wealth this provides once helped create Tulsa’s richly detailed art-deco downtown.",
48,48,Arlington,Texas,398112,365438,8.94,95.8,248.1,4100,1600,32°42′03″N97°07′29″W﻿ / ﻿32.7007°N 97.1247°W﻿ /32.7007; -97.1247﻿ ,"/wiki/Arlington,_Texas","Sitting just across the Potomac River from DC, Arlington is best known as the home of the Arlington National Cemetery and the Pentagon. Other than these two – admittedly major – draws, there's not much to attract the visitor. The once-vibrant music and club strip on Wilson Blvd has been decimated in recent times as buildings are torn down to make way for sleek new high-rise apartment and office towers.", 
49,49,Tampa,Florida,392890,335709,17.03,113.4,293.7,3326,1284,27°58′12″N82°28′47″W﻿ / ﻿27.9701°N 82.4797°W﻿ /27.9701; -82.4797﻿ ,"/wiki/Tampa,_Florida","Tampa, or 'Trampa' as some locals say, is gritty in spots, but also home to a bunch of museums, parks and ambitious restaurants, many of which have popped up recently and brought the city dangerously close to becoming stylish. In the heart of downtown, the revitalized Riverwalk along the Hillsborough River glitters with contemporary architecture and scenic spaces. Plus, between the zoo, the aquarium, the children's museums and the theme parks, families have enough top-shelf entertainment to last a week. By evening Ybor City's streets transform into southwest Florida's hottest bar and nightclub scene.","is sun, sea and surprises"
50,50,New Orleans,Louisiana,391006,343829,13.72,169.4,438.7,2311,892,30°03′12″N89°56′04″W﻿ / ﻿30.0534°N 89.9345°W﻿ /30.0534; -89.9345﻿ ,/wiki/New_Orleans,"The things that make life worth living – eating, drinking and the making of merriment – are the air that New Orleans breathes.",is a unique blend of cultures
51,51,Wichita,Kansas,389255,382368,1.8,160.4,415.4,2431,939,37°41′27″N97°20′45″W﻿ / ﻿37.6907°N 97.3459°W﻿ /37.6907; -97.3459﻿ ,"/wiki/Wichita,_Kansas","From its early cow-town days at the head of the Chisholm Trail in the 1870s to its current claim as Air Capital of the World (thanks to about half the world's general aviation aircraft being built here by the likes of Cessna and others), Kansas' largest city is a worthwhile stopover, but not at the expense of the rest of the state.", 
52,52,Cleveland,Ohio,383793,396815,−3.28,77.7,201.2,4965,1917,41°28′43″N81°40′46″W﻿ / ﻿41.4785°N 81.6794°W﻿ /41.4785; -81.6794﻿ ,/wiki/Cleveland,,
53,53,Bakersfield,California,383579,347483,10.39,148.8,385.4,2529,976,35°19′16″N119°01′06″W﻿ / ﻿35.3212°N 119.0183°W﻿ /35.3212; -119.0183﻿ ,"/wiki/Bakersfield,_California","Nearing Bakersfield, the landscape has evidence of California’s other gold rush: rusting rigs alongside the route burrow into Southern California’s vast oil fields. Black gold was discovered here in the late 1800s, and Kern County, the southernmost along Hwy 99, still pumps more than some OPEC countries.", 
54,54,Aurora,Colorado,374114,325078,15.08,153.5,397.6,2356,910,39°41′17″N104°41′23″W﻿ / ﻿39.6880°N 104.6897°W﻿ /39.6880; -104.6897﻿ ,"/wiki/Aurora,_Colorado",,
55,55,Anaheim,California,352005,336265,4.68,50,129.5,7021,2711,33°51′20″N117°45′36″W﻿ / ﻿33.8555°N 117.7601°W﻿ /33.8555; -117.7601﻿ ,"/wiki/Anaheim,_California","You can't really talk about Anaheim without mentioning Disneyland – but if that's all you talk about, you're missing out. Anaheim has grown into Orange County's largest city. It's a major convention destination and is home to major league baseball and hockey teams. Especially in the last decade, Anaheim has developed some surprising pockets of cool that have nothing to do with the Mouse House.", 
56,56,Honolulu,Hawaii,347397,337256,3.01,60.5,156.7,5815,2245,21°19′27″N157°50′51″W﻿ / ﻿21.3243°N 157.8476°W﻿ /21.3243; -157.8476﻿ ,/wiki/Honolulu,"Here in Honolulu, away from the crowded haunts of Waikiki, you get to shake hands with the real Hawaii. A boisterous Polynesian capital, Honolulu delivers an island-style mixed plate of experiences.",is authentic Hawaii
57,57,Santa Ana,California,332725,324528,2.53,27.1,70.2,12333,4762,33°44′11″N117°52′59″W﻿ / ﻿33.7363°N 117.8830°W﻿ /33.7363; -117.8830﻿ ,"/wiki/Santa_Ana,_California","Only 65km from the capital, Santa Ana is a mid-sized El Salvadoran city, the long-standing coffee wealth of which is reflected in its architecture, some of the most magnificent in Central America. There's a relaxed confidence in the wide, tree-lined streets and colorful houses, and Santanecos are genuinely proud of their growing cultural scene. Smart travelers are choosing Santa Ana as an alternative base to the capital for exploring Volcán Santa Ana, Lago de Coatepeque, the Maya ruins at Tazumal and Joya de Cerén, or the Ruta de las Flores.",is metropolitan architecture
58,58,Riverside,California,330063,303871,8.62,81.2,210.3,3999,1544,33°56′17″N117°23′36″W﻿ / ﻿33.9381°N 117.3932°W﻿ /33.9381; -117.3932﻿ ,"/wiki/Riverside,_California",,
59,59,Corpus Christi,Texas,326554,305215,6.99,174.6,452.2,1866,720,27°45′15″N97°10′24″W﻿ / ﻿27.7543°N 97.1734°W﻿ /27.7543; -97.1734﻿ ,"/wiki/Corpus_Christi,_Texas",,
60,60,Lexington,Kentucky,323780,295803,9.46,283.6,734.5,1123,434,38°02′27″N84°27′30″W﻿ / ﻿38.0407°N 84.4583°W﻿ /38.0407; -84.4583﻿ ,"/wiki/Lexington,_Kentucky","Cities don't get more genteel than Lexington, home of million-dollar houses and multimillion-dollar horses. Once the wealthiest and most cultured city west of the Allegheny Mountains, it was called 'the Athens of the West.' It's home to the University of Kentucky and is the heart of the thoroughbred industry. Pretty Victorian neighborhoods, garden-clad historic properties and small distilleries speckle the compact downtown. Brewery buffs and horse racing fans will find plenty to keep them occupied.",is horse country
61,61,Stockton,California,311178,291707,6.67,61.7,159.8,4977,1922,37°58′35″N121°18′48″W﻿ / ﻿37.9763°N 121.3133°W﻿ /37.9763; -121.3133﻿ ,"/wiki/Stockton,_California",,
62,62,Henderson,Nevada,310390,257729,20.43,104.7,271.2,2798,1080,36°00′35″N115°02′09″W﻿ / ﻿36.0097°N 115.0357°W﻿ /36.0097; -115.0357﻿ ,"/wiki/Henderson,_Nevada","Technically a city in itself, the area known as Henderson, around 15 miles east of Las Vegas, makes a pleasant alternative base away from the hustle and bustle of the Strip and Downtown, especially if you're traveling with kids. The Strip's obsession with shiny things, human pleasures and earthly delights takes much more of a back seat out here, with nature stepping in to take center stage.", 
63,63,Saint Paul,Minnesota,307695,285068,7.94,52,134.7,5815,2245,44°56′56″N93°06′15″W﻿ / ﻿44.9489°N 93.1041°W﻿ /44.9489; -93.1041﻿ ,"/wiki/Saint_Paul,_Minnesota",,
